URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,STATUS,ERROR
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,1,0.6666665555555741,0.032967032785895425,30.333333333333332,36.81318681318682,26.85860805860806,30.333333333333332,67,182,2.2472527472527473,2,7.730769230769231,OK,
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10,8,0.11111110493827195,0.043902438917311125,11.38888888888889,33.41463414634146,17.921409214092144,11.38888888888889,137,410,2.234146341463415,28,7.058536585365854,OK,
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,4,0.46666663555555765,0.04854368916328903,25.75,24.59546925566343,20.138187702265373,25.75,76,309,1.9741100323624596,2,6.656957928802589,OK,
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,12,0.3142857053061227,0.08293838842905595,15.62962962962963,51.421800947867304,26.820572230998774,15.62962962962963,217,422,2.6018957345971563,7,7.869668246445498,OK,
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,9,2,0.636363578512402,0.02282157671613781,11.209302325581396,35.06224066390041,18.508617195792723,11.209302325581396,169,482,2.2427385892116183,1,6.773858921161826,OK,
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,5,1,0.6666665555555741,0.032967032785895425,30.333333333333332,36.81318681318682,26.85860805860806,30.333333333333332,67,182,2.2472527472527473,2,7.730769230769231,OK,
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,10,8,0.11111110493827195,0.043902438917311125,11.38888888888889,33.41463414634146,17.921409214092144,11.38888888888889,137,410,2.234146341463415,28,7.058536585365854,OK,
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,11,4,0.46666663555555765,0.04854368916328903,25.75,24.59546925566343,20.138187702265373,25.75,76,309,1.9741100323624596,2,6.656957928802589,OK,
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,23,12,0.3142857053061227,0.08293838842905595,15.62962962962963,51.421800947867304,26.820572230998774,15.62962962962963,217,422,2.6018957345971563,7,7.869668246445498,OK,
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,56,22,0.4358974303090073,0.06678082186063285,11.68,48.20205479452055,23.952821917808222,11.68,563,1168,2.5128424657534247,2,7.673801369863014,OK,
